student_id,學科背景,學習目標,性別,年紀,居住地區,學過幾種程式語言,學過哪些程式語言
0,其他,Learner,男,36 - 40歲,東部,0,沒有學過
1,理論科學,Tourist,男,31 - 35歲,中部,0,無
2,工程科學,Tourist,女,26 - 30歲,中部,0,沒有學過
3,文,Tourist,男,20 - 25歲,東部,1,python
4,商,Tourist,男,26 - 30歲,北部,0,無
5,文,Tourist,女,20 - 25歲,中部,1,css
6,其他,Career Switcher,男,26 - 30歲,東部,1,html
7,資訊科學（資工、資管等等）,Tourist,男,26 - 30歲,南部,2,javascript、css
8,工程科學,Learner,男,26 - 30歲,東部,2,javascript、html
9,理論科學,Career Switcher,女,20 - 25歲,中部,0,沒有
10,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,北部,2,python、javascript
11,理論科學,Career Switcher,男,20 - 25歲,中部,4,"python、javascript ,html、css"
12,工程科學,Career Switcher,女,20 - 25歲,南部,3,html、javascript、python
13,工程科學,Career Switcher,女,26 - 30歲,東部,2,python、javascript
14,資訊科學（資工、資管等等）,Career Switcher,女,20 - 25歲,北部,4,html、css、javascript、python
15,資訊科學（資工、資管等等）,Career Switcher,男,20 - 25歲,東部,1,javascript
16,工程科學,Career Switcher,男,26 - 30歲,東部,2,python、javascript
17,理論科學,Career Switcher,女,26 - 30歲,南部,2,html、css
18,工程科學,Career Switcher,女,31 - 35歲,東部,4,"python、javascript ,html、css"
19,理論科學,Career Switcher,女,20 歲以下,北部,3,html、javascript、css
20,工程科學,Tourist,女,20 - 25歲,南部,2,javascript、css
21,理論科學,Career Switcher,男,20 - 25歲,北部,3,html、javascript、css
22,工程科學,Career Switcher,不提供,31 - 35歲,南部,2,javascript、css
23,商,Career Switcher,女,20 - 25歲,北部,1,css
24,文,Learner,男,26 - 30歲,中部,1,css
25,其他,Career Switcher,女,40歲以上,中部,1,html
26,文,Learner,男,20 - 25歲,東部,2,javascript、html
27,工程科學,Tourist,女,31 - 35歲,南部,3,html、javascript、css
28,文,Learner,女,31 - 35歲,北部,0,無
29,其他,Learner,男,31 - 35歲,北部,1,python
30,理論科學,Learner,男,20 歲以下,東部,2,html、css
31,工程科學,Career Switcher,男,20 歲以下,北部,4,"html、javascript ,python、css"
32,理論科學,Learner,男,26 - 30歲,北部,0,無
33,工程科學,Learner,女,31 - 35歲,北部,2,javascript、html
34,商,Career Switcher,男,20 歲以下,東部,1,python
35,其他,Career Switcher,女,26 - 30歲,東部,2,javascript、css
36,工程科學,Tourist,男,20 - 25歲,中部,1,html
37,商,Career Switcher,男,20 - 25歲,中部,0,無
38,理論科學,Career Switcher,男,26 - 30歲,東部,2,javascript、html
39,工程科學,Career Switcher,男,36 - 40歲,北部,0,無
40,理論科學,Career Switcher,男,26 - 30歲,南部,4,"python、javascript ,html、css"
41,工程科學,Learner,女,20 - 25歲,南部,4,html、css、javascript、python
42,文,Learner,女,40歲以上,中部,0,無
43,工程科學,Career Switcher,男,20 歲以下,南部,3,html、javascript、python
44,理論科學,Tourist,男,36 - 40歲,南部,0,無
45,文,Career Switcher,女,20 歲以下,北部,1,python
46,文,Career Switcher,女,20 - 25歲,北部,4,html、css、javascript、python
47,理論科學,Tourist,女,40歲以上,北部,1,css
48,商,Career Switcher,女,20 - 25歲,南部,0,沒有
49,理論科學,Learner,男,20 - 25歲,中部,2,html、css
50,文,Learner,不提供,26 - 30歲,南部,0,無
51,其他,Learner,女,20 - 25歲,東部,1,python
52,理論科學,Learner,男,26 - 30歲,南部,2,python、javascript
53,資訊科學（資工、資管等等）,Career Switcher,女,26 - 30歲,中部,0,無
54,資訊科學（資工、資管等等）,Learner,女,20 歲以下,南部,0,沒有
55,工程科學,Learner,男,20 - 25歲,南部,5,python、javascript、html、css、c++
56,資訊科學（資工、資管等等）,Learner,女,20 歲以下,北部,1,javascript
57,文,Career Switcher,女,20 歲以下,中部,1,python
58,工程科學,Learner,女,31 - 35歲,中部,0,無
59,理論科學,Learner,女,20 - 25歲,東部,2,javascript、html
60,理論科學,Career Switcher,男,26 - 30歲,中部,0,沒有
61,理論科學,Career Switcher,女,31 - 35歲,東部,4,"python、javascript ,html、css"
62,文,Learner,男,20 歲以下,中部,3,html、javascript、css
63,理論科學,Learner,女,20 - 25歲,中部,3,html、javascript、python
64,文,Career Switcher,女,31 - 35歲,南部,4,html、css、javascript、python
65,商,Career Switcher,女,40歲以上,東部,0,無
66,商,Career Switcher,女,20 - 25歲,北部,0,沒有學過
67,其他,Career Switcher,男,20 - 25歲,南部,4,"html、javascript ,python、css"
68,商,Learner,女,31 - 35歲,中部,3,html、javascript、css
69,商,Tourist,男,26 - 30歲,北部,1,javascript
70,理論科學,Tourist,女,31 - 35歲,南部,2,javascript、css
71,文,Career Switcher,男,20 歲以下,南部,2,html、css
72,理論科學,Tourist,女,26 - 30歲,北部,1,python
73,工程科學,Career Switcher,男,20 - 25歲,南部,0,沒有
74,工程科學,Career Switcher,女,26 - 30歲,中部,3,html、javascript、python
75,資訊科學（資工、資管等等）,Tourist,男,26 - 30歲,中部,0,無
76,理論科學,Career Switcher,男,20 - 25歲,東部,2,html、css
77,商,Learner,男,20 - 25歲,北部,1,python
78,工程科學,Career Switcher,男,20 歲以下,中部,2,html、css
79,商,Tourist,女,26 - 30歲,中部,1,css
80,資訊科學（資工、資管等等）,Learner,男,26 - 30歲,東部,0,無
81,理論科學,Career Switcher,女,20 - 25歲,中部,0,無
82,理論科學,Career Switcher,女,20 歲以下,中部,1,javascript
83,理論科學,Career Switcher,女,26 - 30歲,南部,2,html、css
84,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,南部,2,javascript、html
85,工程科學,Career Switcher,男,26 - 30歲,南部,0,無
86,資訊科學（資工、資管等等）,Learner,不提供,26 - 30歲,東部,1,javascript
87,商,Learner,男,20 歲以下,南部,0,沒有學過
88,文,Career Switcher,男,31 - 35歲,中部,0,無
89,理論科學,Career Switcher,女,20 歲以下,東部,3,html、javascript、css
90,工程科學,Tourist,女,31 - 35歲,東部,1,css
91,工程科學,Learner,女,26 - 30歲,中部,0,沒有學過
92,理論科學,Tourist,不提供,20 - 25歲,北部,2,python、javascript
93,文,Career Switcher,女,31 - 35歲,中部,1,css
94,文,Learner,男,31 - 35歲,南部,0,無
95,資訊科學（資工、資管等等）,Career Switcher,男,26 - 30歲,中部,2,javascript、html
96,理論科學,Career Switcher,女,26 - 30歲,南部,2,javascript、html
