id,student_id,時間點,學習時間（分鐘）
0,0,2021-07-10 18:35:02.821472,244
1,0,2021-07-10 05:26:52.959818,269
2,0,2021-07-16 21:31:44.281551,202
3,0,2021-07-01 23:28:43.218366,204
4,0,2021-07-08 13:30:11.332254,169
5,0,2021-07-15 03:59:48.896038,231
6,0,2021-07-17 12:22:58.153628,312
7,0,2021-07-21 11:39:22.308283,163
8,0,2021-06-30 02:46:40.883631,191
9,0,2021-07-13 09:32:38.366233,283
10,0,2021-07-04 10:59:16.479691,225
11,0,2021-07-23 10:34:51.305762,73
12,0,2021-07-11 07:31:43.222775,207
13,0,2021-07-11 21:13:51.567050,147
14,0,2021-07-19 15:16:30.491539,195
15,0,2021-07-28 23:05:38.063092,230
16,1,2021-07-14 11:11:20.858789,299
17,1,2021-07-29 01:13:39.755162,260
18,1,2021-07-24 11:35:03.108337,228
19,1,2021-07-11 13:28:57.203573,212
20,1,2021-07-02 15:58:28.355043,166
21,1,2021-07-28 19:44:12.022907,186
22,1,2021-07-05 19:24:13.520542,214
23,1,2021-07-26 23:23:50.586631,174
24,1,2021-07-27 16:54:10.671479,278
25,1,2021-07-02 06:52:30.901274,281
26,1,2021-07-19 16:49:54.047778,220
27,1,2021-07-11 17:26:29.842767,166
28,1,2021-07-03 10:16:29.152663,249
29,1,2021-07-09 18:39:53.659616,178
30,1,2021-06-30 23:34:45.653530,263
31,1,2021-07-04 01:48:01.521619,237
32,1,2021-07-12 11:25:34.455495,284
33,1,2021-07-20 09:50:23.455331,143
34,2,2021-07-21 13:18:56.961167,239
35,2,2021-07-18 12:37:27.598425,197
36,2,2021-07-02 05:52:55.702314,244
37,2,2021-07-12 17:04:19.176005,227
38,2,2021-07-04 15:27:31.154339,249
39,2,2021-07-17 16:02:22.866704,241
40,2,2021-06-23 19:56:48.623033,212
41,2,2021-07-09 13:55:05.322540,190
42,3,2021-07-23 13:17:42.589845,238
43,3,2021-07-10 04:20:36.004467,219
44,3,2021-07-12 23:11:10.667235,246
45,3,2021-07-11 08:06:40.536626,309
46,3,2021-07-05 17:50:51.237055,178
47,4,2021-07-04 18:59:01.297777,232
48,4,2021-07-18 02:39:05.014653,254
49,4,2021-07-17 11:22:03.043476,180
50,4,2021-07-03 15:11:53.992745,170
51,4,2021-07-28 17:27:04.598964,189
52,5,2021-07-22 13:11:55.963137,235
53,5,2021-07-23 03:42:33.928754,123
54,5,2021-06-30 04:58:36.112757,140
55,5,2021-07-01 12:51:52.190806,233
56,5,2021-07-04 12:02:59.226400,227
57,5,2021-07-04 21:34:46.360972,246
58,5,2021-06-30 02:01:31.680229,216
59,5,2021-06-29 21:39:16.311775,178
60,6,2021-07-26 15:19:10.558992,251
61,6,2021-06-29 03:00:08.456938,201
62,6,2021-07-03 21:03:17.830911,296
63,6,2021-07-03 06:23:57.263788,254
64,6,2021-07-24 06:10:22.309900,141
65,6,2021-07-19 05:53:50.010944,135
66,6,2021-07-04 02:41:45.385529,242
67,6,2021-07-26 13:53:04.044206,183
68,6,2021-07-19 10:19:42.284542,221
69,6,2021-07-14 08:42:52.299695,225
70,6,2021-07-03 01:03:35.441918,149
71,6,2021-07-14 23:00:45.654437,199
72,6,2021-07-18 09:12:28.022830,278
73,6,2021-07-18 08:00:59.740687,255
74,6,2021-07-12 16:55:24.018693,232
75,6,2021-07-01 21:50:49.529857,189
76,6,2021-06-30 23:18:53.543191,195
77,6,2021-07-09 11:45:26.328382,192
78,6,2021-07-10 00:09:10.379988,302
79,6,2021-07-07 05:01:38.666299,246
80,6,2021-07-14 03:23:40.250793,209
81,6,2021-07-25 18:17:23.612576,156
82,6,2021-06-29 07:37:59.675406,249
83,6,2021-06-29 19:27:27.698414,251
84,6,2021-07-24 15:11:29.008584,144
85,6,2021-07-17 14:19:43.229445,95
86,6,2021-07-17 19:34:54.823530,221
87,7,2021-07-14 02:27:47.815095,257
88,7,2021-06-29 16:12:34.616278,216
89,7,2021-07-23 23:51:14.800453,241
90,7,2021-07-17 15:42:03.278771,203
91,7,2021-07-01 20:10:50.920515,258
92,7,2021-06-27 13:04:59.649452,193
93,7,2021-07-18 16:54:53.057697,177
94,7,2021-07-05 03:29:50.889580,194
95,7,2021-06-29 07:44:26.678319,202
96,7,2021-07-05 14:14:58.801442,210
97,7,2021-06-29 07:43:45.255569,167
98,8,2021-07-16 07:05:07.831045,250
99,8,2021-07-10 13:51:36.467750,249
100,8,2021-07-23 08:12:42.115736,145
101,8,2021-07-04 14:02:14.379895,217
102,8,2021-07-14 10:34:03.860249,182
103,8,2021-07-11 06:47:50.440779,152
104,8,2021-06-28 21:42:51.585803,222
105,8,2021-07-14 15:54:16.789314,177
106,8,2021-07-06 09:11:27.684341,186
107,8,2021-07-10 03:59:27.407445,141
108,8,2021-07-17 23:15:20.360083,224
109,8,2021-07-25 21:51:40.342678,239
110,8,2021-06-29 11:24:02.521238,234
111,8,2021-07-26 02:45:44.540645,237
112,8,2021-07-07 20:27:28.171723,199
113,9,2021-07-16 09:09:01.296510,224
114,9,2021-06-23 22:39:26.015552,180
115,9,2021-06-30 05:10:54.651767,209
116,9,2021-07-14 22:41:00.408536,292
117,9,2021-07-04 16:38:58.764111,197
118,9,2021-07-03 23:38:39.384693,272
119,9,2021-06-30 10:21:08.644473,289
120,9,2021-06-24 22:27:46.917267,252
121,9,2021-07-21 09:32:59.000628,181
122,10,2021-07-09 05:10:22.368239,258
123,10,2021-07-06 16:32:12.516400,176
124,10,2021-07-12 12:08:05.371154,192
125,10,2021-07-08 23:46:48.456134,236
126,10,2021-07-04 19:10:56.263355,152
127,10,2021-06-29 09:43:39.795168,232
128,10,2021-07-01 14:13:33.258430,270
129,10,2021-07-13 23:21:15.533973,189
130,10,2021-07-10 01:23:58.564488,285
131,10,2021-07-10 17:46:19.449333,187
132,10,2021-07-12 06:26:20.742684,243
133,10,2021-07-04 18:13:36.383938,213
134,10,2021-07-13 20:52:24.094860,211
135,10,2021-07-29 01:38:36.680607,232
136,10,2021-07-03 01:22:47.004458,196
137,10,2021-07-14 07:17:22.870418,215
138,10,2021-07-14 04:48:38.757671,98
139,10,2021-07-24 01:09:24.677133,277
140,10,2021-07-09 06:17:10.502972,231
141,10,2021-07-04 02:38:09.742195,206
142,10,2021-07-22 10:20:01.257388,266
143,10,2021-07-02 12:45:11.052467,175
144,10,2021-07-18 01:32:13.594086,183
145,11,2021-07-17 03:05:30.505404,198
146,11,2021-07-11 23:20:36.493989,154
147,11,2021-07-07 20:01:53.067241,206
148,11,2021-07-27 14:07:56.482155,163
149,11,2021-07-19 18:26:56.828233,197
150,11,2021-07-06 11:20:05.534973,268
151,11,2021-07-03 12:38:04.651765,210
152,11,2021-07-01 19:27:32.065534,169
153,11,2021-07-20 15:17:49.621176,235
154,11,2021-07-09 23:10:20.005170,216
155,11,2021-07-03 22:50:46.384785,190
156,11,2021-07-01 11:58:20.788185,246
157,11,2021-07-02 20:25:52.411149,200
158,11,2021-07-24 07:12:51.044724,254
159,11,2021-07-09 00:57:17.159016,268
160,11,2021-07-07 19:13:02.194177,295
161,11,2021-07-04 18:10:07.501396,102
162,11,2021-07-24 15:34:48.045502,192
163,11,2021-07-07 01:43:07.147122,198
164,11,2021-07-21 05:21:51.865036,192
165,11,2021-07-03 02:20:42.027323,214
166,11,2021-07-22 20:13:16.191119,180
167,11,2021-07-15 21:18:39.197549,236
168,11,2021-07-06 16:42:40.778840,191
169,11,2021-06-30 00:23:02.756279,253
170,11,2021-07-08 09:46:37.229539,210
171,11,2021-07-02 17:46:55.495966,221
172,11,2021-07-23 23:45:01.595409,141
173,12,2021-07-05 17:46:04.138549,234
174,12,2021-07-13 16:47:12.115573,251
175,12,2021-07-03 18:54:09.782531,253
176,12,2021-07-07 05:51:09.229287,255
177,12,2021-06-28 00:30:41.183209,212
178,12,2021-07-20 13:47:59.633591,235
179,12,2021-06-28 01:07:04.960279,223
180,12,2021-07-16 00:48:36.860221,264
181,12,2021-07-16 23:54:57.147990,271
182,12,2021-07-10 12:11:51.871373,212
183,12,2021-07-14 13:10:27.003284,294
184,12,2021-07-10 14:16:58.426034,228
185,12,2021-07-23 03:22:31.358035,191
186,12,2021-07-16 03:49:54.837619,181
187,12,2021-06-26 23:19:59.751278,280
188,12,2021-07-24 23:34:48.212595,229
189,12,2021-07-19 05:15:17.626861,295
190,12,2021-07-21 13:15:00.704300,234
191,12,2021-07-20 10:21:36.531945,245
192,12,2021-07-15 07:44:14.224008,280
193,12,2021-07-09 15:15:00.181983,252
194,12,2021-07-05 17:31:16.746041,224
195,12,2021-07-13 21:27:59.567429,210
196,12,2021-07-06 12:31:50.130709,195
197,12,2021-07-23 01:43:06.236063,156
198,12,2021-07-06 14:24:42.930126,185
199,12,2021-06-27 19:06:28.436572,267
200,12,2021-07-10 10:54:44.426481,140
201,12,2021-07-24 16:17:21.910555,204
202,12,2021-07-17 21:09:37.034753,194
203,13,2021-06-28 23:47:52.025895,233
204,13,2021-07-07 08:19:35.829060,270
205,13,2021-06-28 15:43:43.582686,235
206,13,2021-07-21 04:02:06.714290,149
207,13,2021-06-30 21:42:27.218642,207
208,13,2021-07-22 00:12:31.471121,256
209,13,2021-07-03 07:10:59.966783,218
210,13,2021-07-21 02:40:47.572349,236
211,13,2021-07-09 01:35:56.945460,242
212,13,2021-07-08 21:42:37.601616,223
213,13,2021-06-28 11:25:19.690454,202
214,13,2021-07-18 03:50:15.977555,176
215,13,2021-06-30 18:47:07.400136,134
216,13,2021-07-02 09:26:35.368397,170
217,13,2021-06-24 06:45:01.254273,273
218,13,2021-07-17 13:15:09.002133,168
219,13,2021-07-17 21:14:33.663366,249
220,13,2021-07-14 18:30:20.461038,204
221,13,2021-06-26 00:03:55.188922,210
222,13,2021-07-05 20:28:09.092430,180
223,13,2021-07-17 11:37:06.765483,258
224,13,2021-07-04 23:45:51.795102,200
225,13,2021-06-29 21:37:32.451092,250
226,13,2021-06-26 19:08:15.788958,206
227,13,2021-07-09 20:49:54.056366,213
228,14,2021-07-15 15:20:05.963397,211
229,14,2021-07-04 23:53:38.532131,220
230,14,2021-06-28 22:59:59.902045,215
231,14,2021-07-14 12:50:31.608629,277
232,14,2021-07-14 18:59:18.371323,306
233,14,2021-07-10 06:35:51.265240,248
234,14,2021-07-08 08:54:50.817868,217
235,14,2021-07-01 05:56:17.105522,261
236,14,2021-07-14 04:51:36.550840,162
237,14,2021-07-19 18:09:52.278416,211
238,14,2021-07-01 08:03:58.731595,248
239,14,2021-06-30 02:14:45.595342,233
240,14,2021-06-26 15:38:50.780347,194
241,14,2021-07-05 04:58:24.009323,232
242,14,2021-07-02 00:07:35.119543,166
243,14,2021-06-20 03:20:24.969701,228
244,14,2021-06-26 01:16:27.973319,243
245,14,2021-07-12 10:55:25.009988,220
246,14,2021-07-09 01:54:12.912522,197
247,14,2021-06-27 23:36:10.112891,283
248,14,2021-06-20 06:45:09.281740,127
249,14,2021-06-22 19:49:38.701858,202
250,14,2021-07-06 21:52:17.254415,197
251,14,2021-07-07 21:38:41.576988,175
252,14,2021-07-03 13:35:08.140528,223
253,14,2021-06-27 03:15:13.906690,348
254,15,2021-07-12 01:30:47.244439,213
255,15,2021-07-09 15:26:55.110634,254
256,15,2021-07-21 05:03:56.893568,246
257,15,2021-07-15 11:12:24.127791,223
258,15,2021-07-12 18:43:51.969906,201
259,15,2021-06-28 01:19:57.764792,211
260,15,2021-06-25 17:42:18.512899,274
261,15,2021-07-14 22:41:57.991292,247
262,15,2021-07-15 16:29:39.408142,251
263,16,2021-06-26 04:02:16.235581,139
264,16,2021-06-27 01:10:27.408258,231
265,16,2021-06-28 09:55:39.312707,176
266,16,2021-07-08 08:07:41.974155,195
267,16,2021-07-04 17:17:10.560530,163
268,16,2021-06-30 22:00:32.858173,168
269,16,2021-06-26 00:03:05.745353,271
270,16,2021-06-28 19:31:01.475762,283
271,16,2021-07-11 10:16:46.717154,169
272,16,2021-07-08 04:04:59.199236,148
273,16,2021-07-14 11:00:27.517074,245
274,16,2021-06-21 08:29:17.559686,149
275,16,2021-07-07 01:00:25.915615,258
276,16,2021-07-17 04:17:23.713791,259
277,16,2021-07-13 20:37:41.536446,260
278,16,2021-07-03 20:10:10.720920,258
279,16,2021-06-27 16:07:39.100240,219
280,16,2021-06-23 13:25:11.018232,281
281,16,2021-06-27 06:13:19.319184,207
282,16,2021-07-04 23:03:52.677400,282
283,16,2021-07-10 08:30:27.967766,168
284,17,2021-07-08 23:26:19.945841,261
285,17,2021-07-04 07:32:04.059614,176
286,17,2021-07-18 17:21:34.248997,194
287,17,2021-07-02 10:55:39.966404,243
288,17,2021-06-28 17:35:19.735686,274
289,17,2021-07-08 16:43:53.916824,220
290,17,2021-07-23 15:22:03.448784,292
291,17,2021-06-29 10:54:16.627039,289
292,17,2021-07-10 18:09:31.514797,207
293,17,2021-07-07 03:21:03.158217,243
294,17,2021-07-05 09:53:48.246217,226
295,17,2021-07-11 07:19:29.851044,198
296,17,2021-07-06 16:32:27.157452,151
297,17,2021-07-01 21:41:02.304613,206
298,17,2021-07-05 03:21:03.683384,223
299,17,2021-07-17 10:11:01.376381,205
300,17,2021-07-17 22:27:09.467741,243
301,17,2021-07-07 00:21:28.724541,92
302,17,2021-06-27 09:25:10.209300,336
303,17,2021-07-16 13:27:32.978935,240
304,17,2021-07-05 13:03:17.284907,204
305,17,2021-07-05 06:26:25.618363,234
306,17,2021-07-24 16:50:59.781515,250
307,17,2021-07-03 07:35:51.810209,194
308,17,2021-07-23 20:33:41.458058,169
309,17,2021-07-20 01:40:23.317539,208
310,17,2021-07-20 23:33:15.891790,195
311,17,2021-07-17 10:39:10.713435,201
312,17,2021-07-21 00:27:03.630798,281
313,18,2021-07-04 10:13:47.977181,210
314,18,2021-07-07 11:57:56.303144,309
315,18,2021-07-02 21:11:59.891713,166
316,18,2021-07-28 18:48:14.861623,211
317,18,2021-07-14 08:23:28.221817,140
318,18,2021-07-19 08:51:02.759500,268
319,18,2021-07-17 00:34:58.203498,173
320,18,2021-07-10 09:32:49.656102,157
321,18,2021-07-26 08:15:44.474228,137
322,18,2021-07-29 07:09:42.375805,222
323,18,2021-07-19 00:41:05.637264,211
324,18,2021-07-15 11:32:45.047454,246
325,18,2021-07-23 18:18:15.645302,195
326,18,2021-07-29 09:57:06.452579,157
327,18,2021-07-16 15:45:13.193775,182
328,18,2021-07-10 21:47:46.023122,233
329,18,2021-07-11 21:37:37.034454,215
330,18,2021-07-26 08:45:56.314030,206
331,18,2021-07-02 01:07:02.769571,240
332,18,2021-07-24 06:33:50.735466,212
333,18,2021-07-24 23:52:22.613657,207
334,18,2021-07-28 09:34:11.038069,279
335,18,2021-06-30 21:33:18.483762,275
336,18,2021-07-08 07:15:20.656034,243
337,18,2021-07-14 05:10:48.310981,222
338,18,2021-07-02 14:05:55.576899,253
339,18,2021-07-09 23:06:14.596193,206
340,18,2021-07-15 22:22:06.938175,234
341,18,2021-07-06 13:07:09.450056,212
342,18,2021-07-29 11:49:54.568907,222
343,19,2021-07-12 14:22:58.838198,251
344,19,2021-07-16 11:45:01.241014,194
345,19,2021-06-25 15:28:59.985717,183
346,19,2021-07-15 15:21:45.751844,241
347,19,2021-07-18 22:04:21.895395,196
348,19,2021-06-30 11:31:05.186485,236
349,19,2021-06-29 00:33:34.768623,259
350,19,2021-06-28 03:50:08.686178,249
351,19,2021-07-11 15:22:50.885485,284
352,19,2021-06-27 14:13:52.289839,318
353,19,2021-07-01 13:32:39.954007,273
354,19,2021-07-01 09:48:29.517542,181
355,19,2021-07-07 07:27:28.329150,233
356,19,2021-07-07 00:39:08.827036,198
357,19,2021-07-09 01:50:43.761051,173
358,19,2021-07-14 22:54:42.398386,218
359,19,2021-07-03 08:07:44.817368,205
360,19,2021-07-05 12:58:28.485437,321
361,19,2021-06-30 17:59:05.153795,245
362,20,2021-07-20 02:27:33.631187,198
363,20,2021-06-27 01:34:20.859252,301
364,20,2021-07-03 19:32:17.539016,264
365,20,2021-07-01 16:52:30.505215,280
366,20,2021-07-03 17:43:47.636797,259
367,20,2021-07-15 13:46:00.070852,291
368,20,2021-07-13 05:42:01.491668,186
369,20,2021-06-29 12:29:26.961064,192
370,20,2021-07-12 20:47:51.151961,250
371,20,2021-07-06 22:17:28.617845,278
372,20,2021-06-25 14:00:33.392959,222
373,20,2021-06-27 14:47:03.353065,209
374,20,2021-06-22 16:15:38.812618,213
375,20,2021-06-25 03:35:12.837947,223
376,20,2021-06-24 19:26:38.349338,229
377,20,2021-07-12 20:32:36.868853,233
378,20,2021-07-04 20:54:24.295257,170
379,20,2021-06-24 19:54:41.220695,324
380,20,2021-07-02 14:48:19.113943,190
381,20,2021-07-04 22:35:39.483455,221
382,20,2021-07-04 13:03:52.038632,167
383,20,2021-07-11 00:20:03.255204,176
